
datetime	predicted_aqi	feature_hour_sin	feature_dow_sin	feature_month_sin	feature_cloud_cover	feature_dew_point_2m	feature_et0_fao_evapotranspiration	feature_precipitation	feature_pressure_hpa	feature_relative_humidity_2m	feature_temperature_celsius	feature_vapor_pressure_deficit	feature_wind_direction_10m	feature_wind_gusts_10m	feature_wind_speed_10m	feature_co	feature_no2	feature_o3	feature_pm10	feature_pm25	feature_so2
9/30/2025 1:00	106.28947	0.25881904510252074	0.7818314824680298	-1																	
9/30/2025 2:00	106.28947	0.49999999999999994	0.7818314824680298	-1																	
9/30/2025 3:00	106.28947	0.7071067811865475	0.7818314824680298	-1																	
9/30/2025 4:00	106.28947	0.8660254037844386	0.7818314824680298	-1																	
9/30/2025 5:00	106.28947	0.9659258262890683	0.7818314824680298	-1																	
9/30/2025 6:00	14.513984	1	0.7818314824680298	-1	0.36106740778607166	-0.155282328	-0.001296359	-0.464702891	0.0006268397977129374	-0.278616236	-0.282179286	0.10562747360228682	0.42500637199155705	0.21198985039745155	-0.303027244	-0.180996462	0.02282069911885188	-0.168981566	-0.309717096	-0.356816055	-0.751953681
9/30/2025 7:00	106.28947	0.9659258262890683	0.7818314824680298	-1																	
9/30/2025 8:00	106.28947	0.8660254037844387	0.7818314824680298	-1																	
9/30/2025 9:00	106.28947	0.7071067811865476	0.7818314824680298	-1																	
9/30/2025 10:00	106.28947	0.49999999999999994	0.7818314824680298	-1																	
9/30/2025 11:00	106.28947	0.258819045102521	0.7818314824680298	-1																	
9/30/2025 12:00	14.188661	1.2246467991473532e-16	0.7818314824680298	-1	0.3579624620366605	-0.157372297	-0.000507319	-0.467059946	-0.000932657	-0.279674118	-0.2854468	0.10416114346545668	0.42402768279006026	0.21324616232041016	-0.303300804	-0.180614478	0.017705820500134837	-0.170740867	-0.312354341	-0.356432473	-0.75167599
9/30/2025 13:00	107.003494	-0.258819045	0.7818314824680298	-1																	
9/30/2025 14:00	107.003494	-0.5	0.7818314824680298	-1																	
9/30/2025 15:00	107.003494	-0.707106781	0.7818314824680298	-1																	
9/30/2025 16:00	107.003494	-0.866025404	0.7818314824680298	-1																	
9/30/2025 17:00	107.003494	-0.965925826	0.7818314824680298	-1																	
9/30/2025 18:00	14.463727	-1	0.7818314824680298	-1	0.3589997813219301	-0.15465442	-0.001885133	-0.465750471	0.0012622746570296276	-0.277765065	-0.282694343	0.1046716411466668	0.42486017182060776	0.21092775678976033	-0.304266808	-0.180933659	0.023505908100195563	-0.167208882	-0.312356387	-0.356050673	-0.751907712
9/30/2025 19:00	107.003494	-0.965925826	0.7818314824680298	-1																	
9/30/2025 20:00	107.003494	-0.866025404	0.7818314824680298	-1																	
9/30/2025 21:00	107.003494	-0.707106781	0.7818314824680298	-1																	
9/30/2025 22:00	107.003494	-0.5	0.7818314824680298	-1																	
9/30/2025 23:00	107.003494	-0.258819045	0.7818314824680298	-1																	
10/1/2025 0:00	14.188661	0	0.9749279121818236	-0.866025404	0.3594844777340439	-0.152883091	-0.003951024	-0.46479049	0.00256373592944319	-0.27587117	-0.28177585	0.10367495115063648	0.4241049530956055	0.2114627404621208	-0.303397582	-0.181332372	0.02772502455402402	-0.165319745	-0.309822028	-0.356747123	-0.751764515
10/1/2025 1:00	106.28947	0.25881904510252074	0.9749279121818236	-0.866025404																	
10/1/2025 2:00	106.28947	0.49999999999999994	0.9749279121818236	-0.866025404																	
10/1/2025 3:00	106.28947	0.7071067811865475	0.9749279121818236	-0.866025404																	
10/1/2025 4:00	106.28947	0.8660254037844386	0.9749279121818236	-0.866025404																	
10/1/2025 5:00	106.28947	0.9659258262890683	0.9749279121818236	-0.866025404																	
10/1/2025 6:00	14.513984	1	0.9749279121818236	-0.866025404	0.36106740778607166	-0.155282328	-0.001296359	-0.464702891	0.0006268397977129374	-0.278616236	-0.282179286	0.10562747360228682	0.42500637199155705	0.21198985039745155	-0.303027244	-0.181351837	0.020456491472372853	-0.164271507	-0.311657655	-0.356816055	-0.751953681
10/1/2025 7:00	106.28947	0.9659258262890683	0.9749279121818236	-0.866025404																	
10/1/2025 8:00	106.28947	0.8660254037844387	0.9749279121818236	-0.866025404																	
10/1/2025 9:00	106.28947	0.7071067811865476	0.9749279121818236	-0.866025404																	
10/1/2025 10:00	106.28947	0.49999999999999994	0.9749279121818236	-0.866025404																	
10/1/2025 11:00	106.28947	0.258819045102521	0.9749279121818236	-0.866025404																	
10/1/2025 12:00	14.188661	1.2246467991473532e-16	0.9749279121818236	-0.866025404	0.3579624620366605	-0.157372297	-0.000507319	-0.467059946	-0.000932657	-0.279674118	-0.2854468	0.10416114346545668	0.42402768279006026	0.21324616232041016	-0.303300804	-0.178897461	0.025391973556271798	-0.163913202	-0.307185878	-0.356432473	-0.75167599
10/1/2025 13:00	107.003494	-0.258819045	0.9749279121818236	-0.866025404																	
10/1/2025 14:00	107.003494	-0.5	0.9749279121818236	-0.866025404																	
10/1/2025 15:00	107.003494	-0.707106781	0.9749279121818236	-0.866025404																	
10/1/2025 16:00	107.003494	-0.866025404	0.9749279121818236	-0.866025404																	
10/1/2025 17:00	107.003494	-0.965925826	0.9749279121818236	-0.866025404																	
10/1/2025 18:00	14.463727	-1	0.9749279121818236	-0.866025404	0.3589997813219301	-0.15465442	-0.001885133	-0.465750471	0.0012622746570296276	-0.277765065	-0.282694343	0.1046716411466668	0.42249388848485425	0.21092775678976033	-0.304266808	-0.179204982	0.02921734474161972	-0.163602841	-0.305483476	-0.356050673	-0.751907712
